"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"lx - number of people left alive at age x"," 60-64 years","88195.71591","85622.80112","90862.13227","88456.06211","85843.22804","91150.45679","88748.13541","86048.28094","91507.20291","87866.02722","84823.60966","90975.93839","87635.27646","84532.219","90774.42602"
"lx - number of people left alive at age x"," 65-69 years","83579.45375","80054.95375","87206.77606","83943.69892","80363.8543","87604.16803","84309.38164","80692.3793","87972.69706","82960.30512","78948.20823","87010.25186","82407.20023","78422.35356","86440.98436"
"lx - number of people left alive at age x"," 70-74 years","77578.81479","73026.57316","82225.29268","77876.03394","73237.01616","82579.06013","78015.54206","73312.58772","82720.00615","76307.15681","71395.60484","81269.84794","74845.02388","69633.85526","80054.35015"
"lx - number of people left alive at age x"," 75-79 years","68995.82622","63161.11024","74897.88491","69338.99161","63566.57689","75122.30235","69467.53123","63853.68084","75083.44438","66826.57854","60746.91964","72885.0195","64546.45632","57842.87678","71111.97025"
"lx - number of people left alive at age x"," 80-84 years","57746.28198","51209.55846","64299.69491","57953.38663","51515.04366","64401.58859","57536.40557","50954.29289","64008.43815","54230.94318","47098.43727","61166.56428","51291.07745","43462.46179","58772.30832"
"lx - number of people left alive at age x"," 85+ years","43163.49315","36733.22304","49596.22913","42761.39241","36054.94362","49349.28586","42369.34909","35331.70777","49063.92241","38064.05375","30776.45898","44907.28025","35566.16338","27694.80282","42855.50426"
"ndx - number of people dying between ages x and x+n"," &lt;1 year","549.3139531","596.7443883","499.6959151","619.9296355","672.0027597","565.3745201","582.7032498","634.7488859","528.1926546","652.0647671","717.4105843","583.5589671","749.0506968","822.5466975","672.3605211"
"ndx - number of people dying between ages x and x+n"," 1-4 years","90.29350523","99.97637599","80.16041263","97.84730465","109.9652515","85.15579888","103.9215374","115.5518751","91.73637984","123.4768269","139.351719","106.8539161","124.9392029","138.4565705","110.7679026"
"ndx - number of people dying between ages x and x+n"," 5-9 years","60.58034074","67.07029439","53.78445639","56.87228385","63.8527021","49.56148774","56.76720501","62.94111683","50.2982188","75.86847409","81.14504974","70.33730962","77.48033956","85.97589924","68.55430892"
"ndx - number of people dying between ages x and x+n"," 10-14 years","75.72952689","88.35674239","62.51652769","72.33063039","83.46605593","60.66906946","71.09338373","81.27706281","60.40066487","92.13090375","109.2964642","74.04390216","99.4825662","118.9438461","79.03651061"
"ndx - number of people dying between ages x and x+n"," 15-19  years","236.5569396","327.311457","141.8722906","236.560385","326.6938473","142.2535777","245.3546778","345.1036563","139.7982949","321.8440376","450.6229319","184.9313833","336.7972259","468.9285241","197.1536288"
"ndx - number of people dying between ages x and x+n"," 20-24 years","443.6234727","640.3350899","238.4456389","436.436509","636.0864912","226.2333797","428.3454604","625.1127978","221.6663265","500.7028237","743.0128068","245.1207459","460.5829391","679.2156334","231.4484922"
"ndx - number of people dying between ages x and x+n"," 25-29 years","572.4804015","801.4277854","331.9804521","522.8145194","735.5628021","299.9514734","483.84343","681.3224157","280.80912","503.2256212","726.5055586","275.4936098","450.1763278","631.8847412","261.7635503"
"ndx - number of people dying between ages x and x+n"," 30-34 years","723.5308496","952.6398967","484.3474052","633.9450204","843.6839313","418.2562156","545.4210523","728.4637342","359.6846192","561.9308625","748.2184561","370.8559454","540.2928731","706.048824","364.9144383"
"ndx - number of people dying between ages x and x+n"," 35-39 years","863.9385704","1096.837471","624.9786953","756.4027109","965.223073","544.0789533","684.4881681","856.5295901","510.1933681","736.9289351","919.1138625","546.1127772","776.6445311","977.2776354","566.1900415"
"ndx - number of people dying between ages x and x+n"," 40-44 years","1018.367004","1246.813756","786.1116194","996.7241532","1210.252737","779.7921089","969.8884737","1169.95678","761.5540928","1141.969307","1397.769736","875.2184328","1149.089556","1440.158617","850.2998198"
"ndx - number of people dying between ages x and x+n"," 45-49 years","1439.705086","1708.176302","1165.305845","1464.47479","1729.274577","1187.924353","1561.154021","1874.492524","1236.106982","1691.681943","2075.523151","1298.416594","1652.145622","2089.652964","1208.407181"
